City,Lat,Lng,Maxtemp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.1927,168.8643,48.47,77,99,3.76,NZ,1651267803
Hithadhoo,-0.6,73.0833,84.6,73,70,9.01,MV,1651267804
Qaanaaq,77.484,-69.3632,12.04,76,18,1.88,GL,1651267805
Longyearbyen,78.2186,15.6401,8.44,61,40,5.75,SJ,1651267806
Jamestown,42.097,-79.2353,59.52,34,0,10.36,US,1651267484
Saskylakh,71.9167,114.0833,33.71,99,100,10.74,RU,1651267807
Nikolskoye,59.7035,30.7861,35.8,85,100,4.54,RU,1651267808
Port Elizabeth,-33.918,25.5701,62.89,71,0,19.57,ZA,1651267808
Mahajanga,-15.7167,46.3167,77.16,75,15,5.59,MG,1651267809
Leningradskiy,69.3833,178.4167,22.42,88,100,15.9,RU,1651267810
Anadyr,64.75,177.4833,32.5,86,75,6.71,RU,1651267811
Thompson,55.7435,-97.8558,53.76,43,20,2.3,CA,1651267453
Ushuaia,-54.8,-68.3,42.46,65,40,16.11,AR,1651267811
San Cristobal,7.7669,-72.225,77.18,77,81,5.1,VE,1651267812
Lüderitz,-26.6481,15.1594,56.39,75,0,11.54,NA,1651267813
Port-Gentil,-0.7193,8.7815,80.56,89,100,8.05,GA,1651267813
Broome,42.2506,-75.833,54.91,25,0,17.27,US,1651267814
Rutul,41.5357,47.4239,53.28,90,100,3.8,RU,1651267814
Hobart,-42.8794,147.3294,54.27,86,75,1.99,AU,1651267815
Hermanus,-34.4187,19.2345,57.79,80,63,7.52,ZA,1651267816
Salinas,36.6777,-121.6555,80.01,50,0,14.97,US,1651267795
Te Karaka,-38.4654,177.8679,55.92,84,40,0.31,NZ,1651267817
Provideniya,64.3833,-173.3,33.73,93,100,15.46,RU,1651267817
Diego de Almagro,-26.3667,-70.05,66.22,41,87,5.48,CL,1651267818
Busselton,-33.65,115.3333,53.6,83,0,4.68,AU,1651267818
Dikson,73.5069,80.5464,9.52,94,100,19.42,RU,1651267819
Avera,33.194,-82.5271,80.11,35,18,6.31,US,1651267819
Rikitea,-23.1203,-134.9692,76.93,74,99,16.91,PF,1651267820
Praia,14.9215,-23.5087,72.14,68,20,18.41,CV,1651267820
Rocha,-34.4833,-54.3333,48.83,71,21,4.88,UY,1651267821
Chokurdakh,70.6333,147.9167,10.11,96,92,7.78,RU,1651267821
Ilulissat,69.2167,-51.1,17.62,86,100,24.16,GL,1651267822
Cherskiy,68.75,161.3,10.13,94,95,7.14,RU,1651267822
Soure,-0.7167,-48.5233,78.78,87,97,9.22,BR,1651267823
Constitución,-35.3333,-72.4167,54.95,65,13,13.11,CL,1651267823
Rudnogorsk,57.2639,103.7519,40.44,97,100,5.82,RU,1651267824
Lebu,-37.6167,-73.65,50.61,70,73,19.37,CL,1651267824
Upernavik,72.7868,-56.1549,21.87,84,100,16.53,GL,1651267825
Vung Tau,10.346,107.0843,78.64,83,100,4.47,VN,1651267825
Klaksvík,62.2266,-6.589,43.72,82,100,6.82,FO,1651267826
Copiapó,-27.3667,-70.3333,60.49,54,100,4.76,CL,1651267826
Hilo,19.7297,-155.09,80.33,76,75,8.05,US,1651267827
Yellowknife,62.456,-114.3525,34.32,51,20,8.05,CA,1651267670
Port Alfred,-33.5906,26.891,62.15,80,9,18.52,ZA,1651267827
Carnarvon,-24.8667,113.6333,62.67,59,0,11.5,AU,1651267828
Kalianget,-7.05,113.9333,80.85,83,43,5.28,ID,1651267828
Margate,51.3813,1.3862,47.7,76,82,7.0,GB,1651267829
San Patricio,28.017,-97.5169,87.19,61,62,18.97,US,1651267829
Orsha,54.5153,30.4053,33.69,72,83,4.14,BY,1651267830
Quatre Cocos,-20.2078,57.7625,72.09,75,7,9.86,MU,1651267830
Grand Gaube,-20.0064,57.6608,72.37,79,4,1.99,MU,1651267831
Bogorodskoye,56.55,37.8833,30.72,95,68,5.93,RU,1651267831
Mar del Plata,-38.0023,-57.5575,51.87,78,40,4.61,AR,1651267787
Paragominas,-2.9667,-47.4833,73.9,96,100,3.85,BR,1651267832
Airai,-8.9266,125.4092,59.27,76,100,2.91,TL,1651267832
Camaná,-16.6228,-72.7111,68.76,78,21,8.28,PE,1651267833
Norman Wells,65.282,-126.8329,41.04,52,0,10.36,CA,1651267833
Quelimane,-17.8786,36.8883,64.87,93,1,5.3,MZ,1651267834
Kapaa,22.0752,-159.319,79.12,78,75,14.97,US,1651267834
Opuwo,-18.0607,13.84,73.38,42,87,2.28,NA,1651267835
Albany,42.6001,-73.9662,59.41,14,0,1.99,US,1651267835
Lázaro Cárdenas,17.9583,-102.2,83.3,59,9,11.32,MX,1651267801
Hervey Bay,-25.2986,152.8535,74.1,73,47,10.92,AU,1651267836
Cape Town,-33.9258,18.4232,59.11,89,75,5.75,ZA,1651267783
Avarua,-21.2078,-159.775,82.45,89,75,17.27,CK,1651267836
Atar,20.5169,-13.0499,81.79,13,66,8.72,MR,1651267837
Monroe,43.1501,-77.6831,56.44,29,40,10.36,US,1651267838
Arraial do Cabo,-22.9661,-42.0278,76.96,94,40,11.5,BR,1651267838
Otradnoye,59.7775,30.8181,35.96,86,100,4.5,RU,1651267839
Westport,41.1415,-73.3579,63.28,17,0,20.71,US,1651267674
Halifax,44.6453,-63.5724,43.68,95,100,9.22,CA,1651267562
Cherusti,55.5498,40.0107,36.32,83,98,5.1,RU,1651267840
New Norfolk,-42.7826,147.0587,53.92,78,100,1.99,AU,1651267840
Cairns,-16.9167,145.7667,75.15,90,75,9.22,AU,1651267841
Hasaki,35.7333,140.8333,46.8,73,34,28.92,JP,1651267841
Hamilton,39.1834,-84.5333,73.24,38,75,9.22,US,1651267842
Itoman,26.1247,127.6694,71.62,78,75,11.5,JP,1651267842
Iqaluit,63.7506,-68.5145,20.93,62,75,6.91,CA,1651267843
Ponta do Sol,32.6667,-17.1,62.71,69,6,3.06,PT,1651267843
Chifeng,42.2683,118.9636,40.33,31,0,18.52,CN,1651267844
Ternate,0.8,127.4,77.67,90,100,7.36,ID,1651267844
Kaitangata,-46.2817,169.8464,51.98,74,91,3.65,NZ,1651267845
Butaritari,3.0707,172.7902,80.83,76,85,12.55,KI,1651267845
East London,-33.0153,27.9116,64.18,70,22,15.32,ZA,1651267846
Grand-Santi,4.25,-54.3833,75.76,96,67,2.04,GF,1651267846
Torbay,47.6666,-52.7314,44.76,95,100,3.0,CA,1651267847
Les Cayes,18.2,-73.75,79.57,71,81,4.43,HT,1651267847
Comarapa,-17.9,-64.4833,56.3,95,100,2.37,BO,1651267847
Vaini,-21.2,-175.2,77.16,94,100,12.66,TO,1651267848
Ust-Maya,60.4167,134.5333,29.23,77,88,2.1,RU,1651267848
Kavieng,-2.5744,150.7967,82.83,75,100,5.91,PG,1651267849
Princeton,25.5384,-80.4089,82.98,64,0,12.66,US,1651267755
Numan,9.4667,12.0333,86.47,52,100,5.3,NG,1651267850
San Jose,37.3394,-121.895,76.69,33,40,14.97,US,1651267241
Faanui,-16.4833,-151.75,81.68,72,2,19.66,PF,1651267850
Topolobampo,25.6,-109.05,87.71,19,0,17.27,MX,1651267851
Mehamn,71.0357,27.8492,28.35,64,75,18.41,NO,1651267675
Berdigestyakh,62.0989,126.6992,26.92,80,44,3.51,RU,1651267851
Punta Arenas,-53.15,-70.9167,42.91,61,40,6.91,CL,1651267852
Mananjary,-21.2167,48.3333,67.01,83,0,7.07,MG,1651267852
Portland,45.5234,-122.6762,63.63,54,75,10.0,US,1651267806
Nuuk,64.1835,-51.7216,21.81,93,40,9.22,GL,1651267853
Deputatsky,69.3,139.9,11.17,89,37,2.08,RU,1651267854
La Palma del Condado,37.3861,-6.5523,65.93,70,0,6.44,ES,1651267854
Guerrero Negro,27.9769,-114.0611,65.7,56,1,20.4,MX,1651267855
Aripuanã,-9.1667,-60.6333,79.74,72,72,0.94,BR,1651267855
Bluff,-46.6,168.3333,49.8,80,99,8.72,NZ,1651267855
Semīrom,31.4167,51.5667,45.21,86,100,2.48,IR,1651267856
Bredasdorp,-34.5322,20.0403,56.82,84,66,7.02,ZA,1651267856
Coahuayana Viejo,18.7333,-103.6833,86.77,50,2,7.61,MX,1651267857
Ariquemes,-9.9133,-63.0408,78.53,82,100,2.44,BR,1651267857
Prykolotne,50.1604,37.3474,42.91,69,99,6.35,UA,1651267858
Nouadhibou,20.931,-17.0347,66.18,77,40,19.57,MR,1651267858
Kamina,-8.7386,24.9906,63.41,93,72,2.37,CD,1651267859
Waingapu,-9.6567,120.2641,76.08,87,31,4.88,ID,1651267859
Vieux-Condé,50.4594,3.5674,52.99,82,100,9.66,FR,1651267860
Bethel,41.3712,-73.414,60.89,23,0,15.99,US,1651267860
São Filipe,14.8961,-24.4956,71.89,73,3,9.46,CV,1651267861
Križevci,46.0219,16.5425,51.39,70,5,5.28,HR,1651267862
Boueni,-12.9025,45.0761,78.78,79,66,7.83,YT,1651267862
Atuona,-9.8,-139.0333,78.87,76,53,17.4,PF,1651267863
Pénjamo,20.4333,-101.7333,88.05,10,2,8.21,MX,1651267864
Mackay,-21.15,149.2,73.69,94,75,9.22,AU,1651267864
Cuiluan,47.72,128.648,43.61,47,100,4.81,CN,1651267865
Varnavino,57.4035,45.0916,31.53,95,2,6.02,RU,1651267866
Kalat,29.0225,66.5916,65.28,24,0,3.53,PK,1651267867
Liverpool,53.4106,-2.9779,51.3,68,0,3.44,GB,1651267867
Okhotsk,59.3833,143.3,33.03,81,99,9.53,RU,1651267868
Tete,-16.1564,33.5867,64.49,94,20,0.0,MZ,1651267869
Bubaque,11.2833,-15.8333,77.36,71,100,18.43,GW,1651267869
Waipawa,-41.4122,175.5153,52.57,67,0,5.66,NZ,1651267870
San Jerónimo,-11.9472,-75.2829,56.88,67,96,5.01,PE,1651267870
Antofagasta,-23.65,-70.4,63.68,75,100,7.74,CL,1651267871
Houndé,11.5,-3.5167,85.55,42,100,4.38,BF,1651267871
Buala,-8.145,159.5921,82.54,79,100,4.68,SB,1651267872
Farsund,58.0948,6.8047,48.94,5,7,10.67,NO,1651267873
Bathsheba,13.2167,-59.5167,83.01,83,20,13.8,BB,1651267873
Mwanza,-2.5167,32.9,69.85,94,75,0.0,TZ,1651267874
Alnashi,56.1874,52.4792,34.11,54,53,1.68,RU,1651267874
Goražde,43.6669,18.9764,51.76,85,99,2.48,BA,1651267591
Berlevåg,70.8578,29.0864,28.4,74,75,25.32,NO,1651267875
Catuday,16.2923,119.8062,80.55,77,100,6.62,PH,1651267876
Faya,18.3851,42.4509,59.11,52,66,1.81,SA,1651267876
Saint George,37.1041,-113.5841,78.64,12,0,13.0,US,1651267838
Tasiilaq,65.6145,-37.6368,28.56,88,76,8.5,GL,1651267877
Saint Paul Harbor,57.79,-152.4072,44.11,76,100,26.46,US,1651267878
Lorengau,-2.0226,147.2712,81.41,80,79,1.43,PG,1651267878
La Ronge,55.1001,-105.2842,61.02,25,40,11.5,CA,1651267837
Maku,39.2911,44.4521,55.89,76,100,2.1,IR,1651267879
Bud,39.447,-86.1758,71.4,44,67,10.74,US,1651267879
Naze,28.3667,129.4833,63.52,74,96,12.17,JP,1651267880
Were Īlu,10.6,39.4333,53.37,86,9,5.82,ET,1651267880
Tuktoyaktuk,69.4541,-133.0374,26.6,74,20,13.8,CA,1651267881
Tiksi,71.6872,128.8694,29.89,82,100,13.18,RU,1651267882
Cidreira,-30.1811,-50.2056,61.3,66,0,7.92,BR,1651267882
Macusani,-14.0833,-70.4333,42.42,71,60,7.25,PE,1651267883
Mumford,5.2618,-0.759,80.98,85,59,9.17,GH,1651267883
Agía Galíni,35.1,24.6833,66.74,54,100,1.01,GR,1651267884
Dingle,10.9995,122.6711,76.44,91,69,5.77,PH,1651267885
Constantine,36.365,6.6147,54.81,76,75,4.61,DZ,1651267885
Acajutla,13.5928,-89.8275,85.15,65,100,7.0,SV,1651267886
Barrow,71.2906,-156.7887,12.22,79,100,18.41,US,1651267886
Esperance,-33.8667,121.9,53.44,78,85,9.57,AU,1651267887
Dunedin,-45.8742,170.5036,55.8,72,51,5.01,NZ,1651267445
Batagay-Alyta,67.8006,130.4114,10.08,85,38,3.18,RU,1651267887
Olinda,-8.0089,-34.8553,78.53,83,75,2.3,BR,1651267800
Codrington,-38.2667,141.9667,53.01,75,8,12.55,AU,1651267888
Hobyo,5.3505,48.5268,83.75,72,87,8.72,SO,1651267889
Chui,-33.6971,-53.4616,53.73,73,40,5.95,UY,1651267889
Kropotkin,45.4375,40.5756,54.68,76,18,11.72,RU,1651267890
Bassila,9.0081,1.6654,76.64,68,100,7.92,BJ,1651267890
Puerto Ayora,-0.7393,-90.3518,80.56,81,66,10.0,EC,1651267891
Bosobolo,4.1833,19.9,71.69,91,88,3.24,CD,1651267891
Yarmouth,41.7057,-70.2286,54.07,43,100,16.11,US,1651267892
Kloulklubed,7.0419,134.2556,73.9,79,66,10.78,PW,1651267892
Henties Bay,-22.116,14.2845,61.54,78,2,7.54,NA,1651267893
Jampur,29.6441,70.5954,92.52,13,90,9.26,PK,1651267893
Vila Velha,-20.3297,-40.2925,80.55,85,0,6.91,BR,1651267857
Sinjār,36.3209,41.8754,65.66,59,0,6.69,IQ,1651267894
Turukhansk,65.8167,87.9833,16.75,81,100,15.41,RU,1651267894
Nizhniy Tsasuchey,50.5167,115.1333,33.06,35,44,6.08,RU,1651267895
Kalabo,-14.97,22.6814,62.33,59,2,5.53,ZM,1651267895
Fortuna,40.5982,-124.1573,64.92,56,20,13.8,US,1651267896
Stokmarknes,68.5646,14.9108,33.78,86,100,0.0,NO,1651267896
Castro,-24.7911,-50.0119,59.77,96,95,8.43,BR,1651267897
Mahébourg,-20.4081,57.7,72.25,88,20,2.3,MU,1651267897
Hong Kong,22.2855,114.1577,82.18,86,96,1.01,HK,1651267667
Kumul,42.8,93.45,54.16,20,0,7.36,CN,1651267898
Srīvardhan,18.0333,73.0167,81.16,74,0,4.97,IN,1651267899
Laguna,38.421,-121.4238,78.03,23,0,9.22,US,1651267899
Mossamedes,-15.1961,12.1522,74.32,70,51,3.47,AO,1651267901
Torbat-e Jām,35.244,60.6225,72.63,34,44,5.21,IR,1651267901
Meulaboh,4.1363,96.1285,77.04,90,60,3.36,ID,1651267902
Marfino,55.7028,37.3822,38.95,76,75,8.95,RU,1651267902
Florø,61.5996,5.0328,42.87,81,100,4.61,NO,1651267902
Ahipara,-35.1667,173.1667,64.54,69,44,9.86,NZ,1651267903
Havelock,34.8791,-76.9013,69.8,54,0,5.99,US,1651267903
Pevek,69.7008,170.3133,17.31,90,100,9.19,RU,1651267904
Bulawayo,-20.15,28.5833,53.85,62,1,3.58,ZW,1651267904
Sitka,57.0531,-135.33,48.09,71,40,8.05,US,1651267905
Mauá,-23.6678,-46.4614,69.6,94,100,5.97,BR,1651267902
Lagoa,39.05,-27.9833,61.38,85,1,19.3,PT,1651267906
Antalaha,-14.9003,50.2788,73.8,85,63,7.92,MG,1651267906
Manavālakurichi,8.1333,77.3,82.51,86,91,11.34,IN,1651267906
Jiuquan,39.7432,98.5174,48.06,35,100,8.84,CN,1651267907
Amlapura,-8.45,115.6167,79.12,84,61,5.79,ID,1651267907
Ciudad Bolivar,8.1222,-63.5497,91.78,43,96,9.57,VE,1651267908
Walvis Bay,-22.9575,14.5053,65.35,59,0,3.44,NA,1651267909
Charter Township of Clinton,42.587,-82.9199,59.11,40,84,1.99,US,1651267478
George Town,5.4112,100.3354,80.53,93,20,3.44,MY,1651267909
Katsuura,35.1333,140.3,51.4,73,12,23.11,JP,1651267910
Whitehaven,54.549,-3.5841,47.66,82,54,1.01,GB,1651267910
Kosh-Agach,50.0,88.6667,34.99,47,17,1.16,RU,1651267911
Khatanga,71.9667,102.5,19.2,96,100,10.09,RU,1651267911
Ancud,-41.8697,-73.8203,46.29,73,100,2.8,CL,1651267912
Venado Tuerto,-33.7456,-61.9688,55.76,37,0,7.25,AR,1651267912
Garden City,42.3256,-83.331,61.05,28,75,13.8,US,1651267695
Bengkulu,-3.8004,102.2655,75.45,90,51,4.43,ID,1651267913
Ribeira Grande,38.5167,-28.7,62.44,87,3,18.19,PT,1651267913
Korla,41.7597,86.1469,54.27,42,0,1.32,CN,1651267914
Lavrentiya,65.5833,-171.0,32.4,92,69,7.9,RU,1651267914
Santa Leopoldina,-20.1006,-40.5297,80.22,94,1,0.83,BR,1651267915
Bandarbeyla,9.4942,50.8122,83.32,76,24,3.8,SO,1651267915
Soyo,-6.1349,12.3689,77.49,92,100,5.44,AO,1651267916
Port Blair,11.6667,92.75,82.31,76,62,2.8,IN,1651267916
Le Port,-20.9373,55.2919,76.96,77,6,12.46,RE,1651267917
Clyde River,70.4692,-68.5914,8.83,78,100,12.66,CA,1651267917
Jacareacanga,-6.2222,-57.7528,82.02,67,100,1.1,BR,1651267918
Fasa,28.9383,53.6482,70.84,30,89,4.61,IR,1651267918
Krasnosel'kup,65.7,82.4667,9.45,94,95,6.89,RU,1651267919
Bambous Virieux,-20.3428,57.7575,72.21,88,20,2.3,MU,1651267919
Douglas,41.3,-96.167,64.22,85,100,9.22,US,1651267920
Salalah,17.0151,54.0924,84.29,84,40,3.44,OM,1651267920
Tautira,-17.7333,-149.15,80.67,73,20,20.33,PF,1651267921
Palmer,42.1584,-72.3287,59.07,20,40,19.57,US,1651267921
Lompoc,34.6391,-120.4579,80.94,57,0,26.46,US,1651267819
Laas,46.6166,10.7002,54.48,90,100,2.42,IT,1651267922
Djibouti,11.5,42.5,76.12,82,40,13.11,DJ,1651267819
Aklavik,68.2191,-135.0107,37.4,56,20,8.05,CA,1651267923
Chara,56.9064,118.2631,26.92,63,95,1.16,RU,1651267924
Rock Sound,24.9,-76.2,75.76,60,0,9.57,BS,1651267924
Fort Nelson,58.8053,-122.7002,42.39,52,75,3.44,CA,1651267925
Lakes Entrance,-37.8811,147.981,53.17,87,100,17.27,AU,1651267925
Houma,29.5958,-90.7195,84.0,51,0,9.22,US,1651267603
Belyy Yar,53.6039,91.3903,48.09,53,0,8.95,RU,1651267926
Diffa,13.3154,12.6113,87.19,35,61,9.82,NE,1651267927
Kavaratti,10.5669,72.642,85.01,76,85,11.07,IN,1651267927
Vardø,70.3705,31.1107,27.7,74,99,21.41,NO,1651267928
Saint-Pierre,-21.3393,55.4781,75.29,78,0,5.75,RE,1651267928
Valle de Santiago,20.3833,-101.2,89.82,11,7,7.38,MX,1651267929
Victor Harbor,-35.5667,138.6167,55.69,76,0,9.93,AU,1651267930
Saint-Philippe,-21.3585,55.7679,75.22,83,54,14.25,RE,1651267930
Mahon,39.8885,4.2658,54.16,82,0,8.05,ES,1651267931
Chapais,49.7834,-74.8492,42.58,67,10,9.42,CA,1651267931
Kieta,-6.2167,155.6333,82.98,72,100,2.37,PG,1651267932
Alofi,-19.0595,-169.9187,84.09,79,71,11.5,NU,1651267932
Pochutla,15.7432,-96.4661,90.82,44,53,10.02,MX,1651267933
Saint-Louis,16.3333,-15.0,94.64,19,0,16.37,SN,1651267933
Kruisfontein,-34.0033,24.7314,57.88,81,4,15.39,ZA,1651267934
Santa Cruz de la Sierra,-17.8,-63.1667,72.86,78,75,16.11,BO,1651267934
Thinadhoo,0.5333,72.9333,85.24,70,85,9.89,MV,1651267935
Banjar,-8.19,114.9675,77.34,90,68,5.17,ID,1651267935
Auch,43.65,0.5833,64.26,88,100,3.0,FR,1651267936
Chicama,-7.8447,-79.1469,63.14,71,76,8.95,PE,1651267936
Kaeo,-35.1,173.7833,59.32,97,39,12.75,NZ,1651267937
Tarko-Sale,64.9225,77.785,6.03,99,37,7.25,RU,1651267937
Escárcega,18.6089,-90.7454,93.45,40,43,2.35,MX,1651267649
Yulara,-25.2406,130.9889,60.64,63,98,11.5,AU,1651267938
Wajima,37.4,136.9,49.78,64,24,10.09,JP,1651267939
Shache,38.4167,77.2406,66.7,27,30,7.36,CN,1651267940
Biak,-0.9131,122.8766,76.17,85,76,4.41,ID,1651267940
Emet,39.343,29.2585,54.48,93,99,3.76,TR,1651267941
Muncar,-8.4333,114.3333,76.87,92,52,2.55,ID,1651267941
Kahului,20.8947,-156.47,84.22,58,40,23.02,US,1651267942
Shawville,45.6001,-76.4827,56.86,41,0,10.33,CA,1651267942
Kibala,9.1104,18.3463,87.75,51,0,9.22,TD,1651267943
Palauig,15.435,119.9045,81.99,71,100,3.38,PH,1651267943
Taszár,46.3747,17.9059,52.48,61,100,4.25,HU,1651267944
Beringovskiy,63.05,179.3167,31.62,96,100,13.65,RU,1651267944
Gari,59.4307,62.3497,28.35,74,51,5.14,RU,1651267945
Byron Bay,-28.65,153.6167,66.09,84,73,2.21,AU,1651267945
Nichinan,31.6,131.3667,53.28,75,45,9.57,JP,1651267946
