City,Lat,Lng,Maxtemp,Humidity,Cloudiness,Wind Speed,Country,Date
Olafsvik,64.8945,-23.7142,45.0,92,50,7.94,IS,1651267946
Teykovo,56.858,40.5369,37.8,85,100,7.83,RU,1651267947
Sinnamary,5.3833,-52.95,79.43,84,87,12.68,GF,1651267947
Nālūt,30.3333,10.85,73.26,22,56,23.91,LY,1651267948
Flin Flon,54.7682,-101.865,49.84,53,40,4.61,CA,1651267949
Nanortalik,60.1432,-45.2371,38.44,85,95,4.56,GL,1651267949
Usol'ye-Sibirskoye,52.7519,103.6453,40.19,83,97,2.77,RU,1651267950
Mt. Pleasant,32.7941,-79.8626,77.0,54,0,8.05,US,1651267950
Ţahţā,26.7693,31.5021,89.29,10,13,5.14,EG,1651267951
Tadine,-21.55,167.8833,72.91,77,100,22.21,NC,1651267951
Seymchan,62.8833,152.4333,22.19,82,50,5.19,RU,1651267952
Puurmani,58.5738,26.2878,39.42,85,19,4.74,EE,1651267952
Tezu,27.9167,96.1667,69.04,80,100,4.68,IN,1651267953
La Reforma,25.0833,-108.05,83.95,39,0,14.61,MX,1651267954
Japura,-0.3167,102.35,72.84,97,100,2.75,ID,1651267954
Chumikan,54.7183,135.315,30.49,76,98,6.2,RU,1651267955
Husavik,66.0449,-17.3389,46.72,73,30,3.51,IS,1651267955
Marsh Harbour,26.5412,-77.0636,74.19,71,88,23.15,BS,1651267955
Tsabong,-26.0217,22.401,65.37,63,38,7.45,BW,1651267956
Carutapera,-1.195,-46.02,77.29,88,100,5.79,BR,1651267957
Pueblo,38.2545,-104.6091,72.36,11,0,7.0,US,1651267908
Vestmannaeyjar,63.4427,-20.2734,47.79,84,36,13.38,IS,1651267957
Cabo San Lucas,22.8909,-109.9124,90.61,21,0,9.22,MX,1651267868
Tual,-5.6667,132.75,84.27,71,100,15.37,ID,1651267958
Ketchikan,55.3422,-131.6461,54.07,43,20,8.05,US,1651267958
Pompéia,-22.1086,-50.1717,74.77,61,31,6.51,BR,1651267959
Merta,26.65,74.0333,84.52,33,0,12.1,IN,1651267959
Muna,20.4833,-89.7167,87.4,47,90,2.3,MX,1651267960
Kosd,47.8079,19.1782,51.15,65,42,1.21,HU,1651267961
Hokitika,-42.7167,170.9667,57.06,72,39,3.58,NZ,1651267961
Isangel,-19.55,169.2667,75.31,78,100,11.5,VU,1651267961
Gioia Tauro,38.424,15.899,64.08,69,88,2.93,IT,1651267962
Yar-Sale,66.8333,70.8333,19.63,83,25,15.12,RU,1651267963
St. George's,12.0564,-61.7485,83.88,79,20,23.02,GD,1651267963
Souillac,-20.5167,57.5167,71.98,88,20,2.3,MU,1651267964
Port Lincoln,-34.7333,135.8667,61.32,57,90,11.54,AU,1651267964
Richards Bay,-28.783,32.0377,68.95,81,48,10.36,ZA,1651267965
Qasigiannguit,68.8193,-51.1922,17.85,74,100,21.92,GL,1651267965
Aquiraz,-3.9014,-38.3911,83.17,84,95,6.26,BR,1651267966
Antiguo Morelos,22.5495,-99.0812,91.45,40,0,9.95,MX,1651267966
Brae,60.3964,-1.353,43.84,71,59,2.66,GB,1651267966
São João da Barra,-21.6403,-41.0511,78.89,82,4,6.58,BR,1651267967
Bilma,18.6853,12.9164,89.55,7,86,8.01,NE,1651267968
Plaster Rock,46.9065,-67.39,36.12,92,100,11.54,CA,1651267885
Nome,64.5011,-165.4064,41.11,70,0,17.27,US,1651267968
Hirara,24.8,125.2833,74.77,83,100,13.89,JP,1651267969
Jining,35.405,116.5814,52.27,79,100,3.94,CN,1651267969
Nogales,31.3086,-110.9422,81.72,7,0,8.05,MX,1651267970
Coquimbo,-29.9533,-71.3436,58.73,82,40,12.66,CL,1651267912
Arrifes,37.7667,-25.7,61.05,100,75,8.05,PT,1651267970
Bowen,-20.0167,148.2333,72.72,85,22,8.84,AU,1651267971
Jérémie,18.65,-74.1167,78.06,75,100,4.65,HT,1651267971
Roald,62.5833,6.1333,45.75,87,75,10.36,NO,1651267972
Sedlčany,49.6606,14.4266,51.28,80,42,3.04,CZ,1651267972
San Francisco,37.7749,-122.4194,76.75,52,75,20.71,US,1651267297
Isiro,2.7739,27.616,65.19,99,100,2.95,CD,1651267973
Saldanha,-33.0117,17.9442,60.03,85,77,3.56,ZA,1651267973
Tura,25.5198,90.2201,68.25,85,0,3.47,IN,1651267974
Russell,32.3502,-85.1999,81.68,36,75,6.91,US,1651267974
Geraldton,-28.7667,114.6,61.21,51,0,18.41,AU,1651267975
Talnakh,69.4865,88.3972,-2.15,94,83,2.44,RU,1651267975
Kununurra,-15.7667,128.7333,73.38,88,66,1.14,AU,1651267878
Talakan,50.3167,130.3667,41.72,53,100,5.48,RU,1651267976
Necochea,-38.5473,-58.7368,50.02,55,92,8.7,AR,1651267706
Amapá,1.0,-52.0,74.26,99,100,2.17,BR,1651267977
Surgut,61.25,73.4167,30.38,74,40,8.95,RU,1651267977
Skjervøy,70.0311,20.9714,28.4,62,100,18.45,NO,1651267978
Devils Lake,48.1128,-98.8651,42.91,93,100,17.27,US,1651267976
Havre-St-Pierre,50.2334,-63.5986,37.76,81,100,17.27,CA,1651267979
Kuloy,61.0305,42.4925,29.89,92,99,3.85,RU,1651267979
Rosarito,32.3333,-117.0333,74.25,61,0,7.45,MX,1651267980
Bismarck,46.8083,-100.7837,42.87,92,40,13.8,US,1651267981
Alice Springs,-23.7,133.8833,62.15,82,100,10.36,AU,1651267810
Marawi,7.9986,124.2928,69.4,95,95,1.39,PH,1651267981
Reading,51.4562,-0.9711,47.91,73,17,4.97,GB,1651267805
Ust'-Koksa,50.2696,85.6108,40.68,69,87,2.28,RU,1651267982
Māngrol,21.1167,70.1167,81.84,80,0,9.08,IN,1651267982
Panubigan,7.4281,123.3466,77.99,84,98,3.36,PH,1651267983
Xifeng,42.7372,124.7222,43.79,46,23,12.62,CN,1651267984
Baijiantan,45.6333,85.1833,59.02,21,0,8.99,CN,1651267984
Bousso,10.4795,16.7117,88.86,44,67,8.46,TD,1651267985
Hailey,43.5196,-114.3153,51.66,30,75,3.44,US,1651267746
Ca Mau,9.1769,105.15,75.85,90,100,1.77,VN,1651267985
Fukuechō,32.6881,128.8419,58.21,71,78,24.76,JP,1651267986
Narsaq,60.9167,-46.05,50.22,78,90,3.33,GL,1651267987
Ughelli,5.4899,6.0074,76.59,89,100,0.98,NG,1651267987
Bonfim,3.0833,-59.95,84.67,63,93,4.12,BR,1651267988
Valday,57.9747,33.2525,28.78,90,100,4.5,RU,1651267988
Prado,-17.3411,-39.2208,75.63,82,7,6.15,BR,1651267989
Miura,35.14,139.6192,51.1,69,38,23.82,JP,1651267990
Muros,42.7762,-9.0603,60.67,76,5,4.07,ES,1651267990
Sørland,67.667,12.6934,38.23,78,98,23.11,NO,1651267990
‘Ewa Beach,21.3156,-158.0072,82.35,56,40,14.97,US,1651267761
Ostrovnoy,68.0531,39.5131,25.0,89,97,17.0,RU,1651267991
Lensk,60.7253,114.9278,35.64,99,100,5.03,RU,1651267992
Jvari,42.7169,42.052,56.55,91,66,3.24,GE,1651267992
Aksha,50.2814,113.2867,30.42,43,66,3.98,RU,1651267993
Poum,-20.2333,164.0167,75.13,74,53,11.23,NC,1651267993
Paamiut,61.994,-49.6678,31.3,98,100,15.75,GL,1651267994
Okahandja,-21.9833,16.9167,67.64,49,61,2.66,NA,1651267994
Ixtapa,20.7,-105.2,81.63,65,0,14.97,MX,1651267995
Alimodian,10.8214,122.4311,75.97,90,75,6.42,PH,1651267996
Mount Isa,-20.7333,139.5,73.17,60,10,4.61,AU,1651267996
Ushtobe,45.2514,77.9838,57.16,27,78,5.75,KZ,1651267997
Kokstad,-30.5472,29.4241,52.14,95,73,2.15,ZA,1651267997
Dothan,31.2232,-85.3905,80.8,53,100,9.22,US,1651267875
Kamenka,51.3223,42.7678,43.72,92,66,8.66,RU,1651267998
Uberaba,-19.7483,-47.9319,81.18,50,0,6.91,BR,1651267998
Aswān,24.0934,32.907,90.7,17,0,2.3,EG,1651267999
San Quintín,30.4833,-115.95,64.62,61,0,15.75,MX,1651267999
Labuhan,-6.8844,112.2051,79.56,86,71,4.54,ID,1651268000
Channel-Port aux Basques,47.5702,-59.1367,39.09,95,100,12.15,CA,1651267837
Polyarnyye Zori,67.3661,32.4981,24.93,79,87,8.32,RU,1651268000
Aksu,41.1231,80.2644,59.36,36,95,4.7,CN,1651268001
Coyhaique,-45.5752,-72.0662,43.41,65,0,0.0,CL,1651267888
Wau,7.7029,27.9953,84.51,41,96,6.98,SS,1651268002
Laje,-10.1833,-40.9667,74.08,50,99,6.2,BR,1651268002
Araouane,18.9048,-3.5265,83.17,8,1,8.08,ML,1651268003
Cravo Norte,6.3017,-70.2041,80.46,78,100,5.99,CO,1651268003
Abhā,18.2164,42.5053,58.82,72,0,0.0,SA,1651268004
Pokhara,28.2333,83.9833,73.58,36,43,7.02,NP,1651268004
Panórama,40.5878,23.0315,59.49,82,40,5.99,GR,1651268005
Port Hardy,50.6996,-127.4199,51.98,71,100,14.97,CA,1651268005
Dawlatabad,36.4141,64.9053,74.68,31,28,1.57,AF,1651268006
Carbondale,37.7273,-89.2168,79.09,38,40,13.8,US,1651267639
Ambilobe,-13.2,49.05,72.81,95,87,2.82,MG,1651268006
Carauari,-4.8828,-66.8958,72.46,99,100,0.54,BR,1651268007
Sumenep,-7.0167,113.8667,79.63,86,42,3.69,ID,1651268007
Jesup,31.6074,-81.8854,79.14,36,40,8.05,US,1651268008
Mbulu,-3.85,35.5333,57.51,94,100,6.46,TZ,1651268008
Goderich,43.7501,-81.7165,48.52,37,0,11.5,CA,1651267837
Sabha,27.0377,14.4283,78.08,17,0,13.15,LY,1651267932
Kodinsk,58.6881,99.1844,41.72,99,100,3.4,RU,1651268009
Mamlyutka,54.9375,68.5394,48.94,73,57,13.24,KZ,1651268010
Safaga,26.7292,33.9365,80.11,48,35,9.22,EG,1651268010
Sagua de Tánamo,20.5819,-75.2414,79.23,63,77,8.14,CU,1651268011
Newcastle,-32.9272,151.7765,68.49,96,100,7.54,AU,1651267956
Bar Harbor,44.3876,-68.2039,46.27,71,100,17.27,US,1651268011
Vao,-22.6667,167.4833,74.59,70,100,25.34,NC,1651268012
Oga,46.4631,10.347,47.08,94,100,3.83,IT,1651268012
Valdivia,-39.8142,-73.2459,53.69,67,94,2.24,CL,1651267718
Saint-Augustin,51.226,-58.6502,36.32,90,100,19.22,CA,1651268014
Vila Franca do Campo,37.7167,-25.4333,63.01,95,40,8.63,PT,1651268015
Liku,-0.7275,119.8922,76.01,92,98,4.94,ID,1651268015
Sambhal,28.5833,78.55,89.13,13,4,7.29,IN,1651268016
Arrondissement de Bastia,42.6667,9.3333,62.02,54,0,2.3,FR,1651268016
Dongli,23.5656,116.8194,71.58,83,100,11.18,CN,1651268017
Baymak,52.5933,58.3225,44.8,63,84,12.62,RU,1651268017
Kanye,-24.9667,25.3327,56.89,86,62,4.14,BW,1651268018
Pio XII,-3.8325,-45.1525,75.42,95,100,2.93,BR,1651268018
Poronaysk,49.2167,143.1167,35.74,62,84,8.46,RU,1651268019
Mayo,38.8876,-76.5119,67.12,24,0,10.36,US,1651268019
Manatí,18.4275,-66.4921,81.86,73,56,11.77,PR,1651268020
Hambantota,6.1241,81.1185,77.34,100,20,4.61,LK,1651268020
Shubarkuduk,49.1447,56.4872,57.07,65,91,11.68,KZ,1651268021
Gualeguay,-33.1416,-59.3097,49.05,53,0,5.08,AR,1651268021
Daru,-9.0763,143.2092,80.2,83,97,6.78,PG,1651268022
Salinópolis,-0.6136,-47.3561,79.12,87,98,10.18,BR,1651268022
Nabire,-3.3667,135.4833,76.87,89,100,2.53,ID,1651268023
Manokwari,-0.8667,134.0833,78.85,79,100,4.45,ID,1651268023
Edson,53.5835,-116.4356,48.34,40,75,9.22,CA,1651267866
Altay,47.8667,88.1167,46.15,39,0,8.79,CN,1651268024
Charters Towers,-20.1,146.2667,69.66,76,6,8.81,AU,1651268024
Yertsevo,60.7966,40.086,30.2,97,99,4.09,RU,1651268025
Ust-Nera,64.5667,143.2,18.91,92,99,2.44,RU,1651268025
Altamira,-3.2033,-52.2064,77.09,94,40,2.3,BR,1651268026
Powell River,49.8496,-124.5361,56.84,58,75,11.5,CA,1651267926
Sept-Îles,50.2001,-66.3821,38.05,77,100,17.27,CA,1651268026
Tapes,-30.6733,-51.3958,57.81,72,0,6.38,BR,1651268027
Kangaatsiaq,68.3065,-53.4641,17.49,79,94,25.75,GL,1651268027
Beloha,-25.1667,45.05,65.62,82,0,10.85,MG,1651268028
Zhigansk,66.7697,123.3711,23.18,93,61,17.31,RU,1651268028
Vinh Long,10.25,105.9667,75.18,93,100,1.88,VN,1651268029
Kamuli,0.9472,33.1197,64.47,99,100,2.93,UG,1651268029
Grootfontein,-19.5667,18.1167,60.37,77,55,2.3,NA,1651268030
Caravelas,-17.7125,-39.2481,75.47,80,12,4.36,BR,1651268030
Riyadh,24.6877,46.7219,69.94,48,42,7.99,SA,1651267877
Buraidah,26.326,43.975,75.65,35,0,7.0,SA,1651268031
Gisborne,-38.6533,178.0042,56.03,83,16,2.04,NZ,1651267972
Tambopata,-12.7333,-69.1833,75.45,92,100,2.66,PE,1651268032
Chu,43.5983,73.7614,62.2,54,100,10.42,KZ,1651268032
Camacha,33.0833,-16.3333,58.42,82,20,8.05,PT,1651268033
Oranjemund,-28.55,16.4333,52.9,83,0,5.3,NA,1651268033
Bosaso,11.2842,49.1816,85.14,59,22,5.01,SO,1651268033
Howard,39.2504,-76.933,66.07,23,0,4.0,US,1651268034
Taseyevo,57.2169,94.8978,52.77,83,100,7.27,RU,1651268034
Sirte,31.2089,16.5887,63.61,87,12,6.87,LY,1651268035
Goundam,16.4145,-3.6708,87.03,11,3,5.19,ML,1651268035
Kattivākkam,13.2167,80.3167,86.09,89,25,14.23,IN,1651268036
Mandera,3.9366,41.867,84.0,61,74,3.96,KE,1651268036
Pisco,-13.7,-76.2167,71.65,64,0,14.97,PE,1651268037
Khotyn,48.4833,26.5,46.72,91,67,3.4,UA,1651268037
Evensk,61.95,159.2333,37.94,65,34,11.18,RU,1651268038
Tongliao,43.6125,122.2653,42.55,49,1,19.35,CN,1651268038
Tazovsky,67.4667,78.7,9.55,88,7,11.48,RU,1651268039
Iisalmi,63.5592,27.1907,20.8,90,4,2.8,FI,1651268039
Lichuan,30.3,108.85,51.55,97,100,2.26,CN,1651268040
Uglovskoye,51.3557,80.1942,55.89,40,100,10.38,RU,1651268040
Parkes,-33.1333,148.1833,60.35,95,100,3.87,AU,1651268041
Nantucket,41.2835,-70.0995,51.94,47,75,17.27,US,1651268041
Winslow,35.0242,-110.6974,80.78,3,0,13.8,US,1651267933
Puerto Ayacucho,5.6639,-67.6236,82.08,80,92,6.8,VE,1651268006
Asău,46.4333,26.4,43.72,100,37,3.71,RO,1651268042
Vanimo,-2.6741,141.3028,77.45,88,100,3.98,PG,1651268043
Shingū,33.7333,135.9833,52.79,67,2,8.34,JP,1651268043
Copán,14.8333,-89.15,95.49,64,93,4.5,HN,1651268044
Menongue,-14.6585,17.691,60.03,74,0,4.14,AO,1651268044
Jinchang,38.4953,102.1739,42.57,43,100,3.02,CN,1651268045
Samarinda,-0.5,117.15,74.25,97,100,0.89,ID,1651268046
Port Augusta,-32.5,137.7667,57.15,77,100,8.19,AU,1651268046
Cayenne,4.9333,-52.3333,83.08,1,75,11.5,GF,1651268047
Bua Yai,15.5855,102.4259,84.11,62,100,8.46,TH,1651268047
San Miguel de Cozumel,20.5083,-86.9458,84.27,69,75,16.11,MX,1651268002
Kutum,14.2,24.6667,78.6,12,20,4.61,SD,1651268048
Qui Nhon,13.7667,109.2333,77.99,90,100,4.43,VN,1651268049
Tessalit,20.1986,1.0114,82.49,8,0,4.68,ML,1651268049
Tiarei,-17.5333,-149.3333,86.02,75,14,21.09,PF,1651268050
Glasgow,55.8652,-4.2576,49.64,82,49,3.44,GB,1651267813
Shellbrook,53.2168,-106.4011,60.03,38,90,7.54,CA,1651268050
Ambon City,-3.6954,128.1814,75.34,94,20,1.14,ID,1651268051
Masaka,-0.3338,31.7341,61.27,91,100,2.55,UG,1651268052
Burē,10.7,37.0667,65.86,32,26,4.85,ET,1651268052
Makkah al Mukarramah,21.4267,39.8261,85.35,44,0,1.81,SA,1651268053
Ballina,-28.8667,153.5667,66.38,96,40,0.0,AU,1651268053
Salta,-24.7859,-65.4117,61.39,80,100,8.05,AR,1651268054
Umuahia,5.5263,7.4896,73.33,90,100,1.99,NG,1651267978
Verāval,20.9,70.3667,81.73,78,0,9.55,IN,1651268054
Kirakira,-10.4544,161.9205,81.75,78,100,2.13,SB,1651268055
Mount Gambier,-37.8333,140.7667,46.31,93,40,9.22,AU,1651267911
Kāmyārān,34.7956,46.9355,49.98,93,83,3.04,IR,1651268056
Arawa,-6.2132,155.5367,83.32,71,100,2.04,PG,1651268056
Samfya,-11.3649,29.5565,66.11,75,100,7.11,ZM,1651268057
Sambava,-14.2667,50.1667,74.82,82,77,11.03,MG,1651268057
Iquique,-20.2208,-70.1431,64.44,72,15,6.91,CL,1651267895
Whyalla,-33.0333,137.5833,48.09,100,46,5.75,AU,1651268058
Diamantina,-18.2494,-43.6003,63.46,66,52,6.6,BR,1651268059
Boa Vista,2.8197,-60.6733,87.78,58,40,5.75,BR,1651267939
Santiago del Estero,-27.7951,-64.2615,64.83,45,95,3.38,AR,1651267891
Warman,52.3168,-106.5679,61.09,18,75,8.05,CA,1651267910
Muscat,23.6139,58.5922,87.82,50,0,1.7,OM,1651267948
Mahon,39.8885,4.2658,54.16,82,0,8.05,ES,1651268060
Touros,-5.1989,-35.4608,79.66,73,92,12.08,BR,1651268060
Grindavik,63.8424,-22.4338,46.35,100,75,5.75,IS,1651268061
Tselina,46.5338,41.0328,54.86,81,91,10.36,RU,1651268062
Oussouye,12.485,-16.5469,77.18,70,66,8.95,SN,1651268062
Sangar,63.9242,127.4739,20.79,85,42,4.34,RU,1651268063
Altamont,42.2068,-121.7372,59.9,32,0,4.61,US,1651268063
Gornopravdinsk,60.05,69.9,28.04,94,35,3.85,RU,1651268064
Sorong,-0.8833,131.25,78.37,89,99,6.13,ID,1651268065
Chipinge,-20.1883,32.6236,53.38,75,4,2.51,ZW,1651268065
Kichera,55.9375,110.0997,29.82,95,100,3.11,RU,1651268065
Derzhavīnsk,51.1,66.3167,60.04,36,0,3.87,KZ,1651268066
Lamar,33.6668,-95.5836,82.98,65,100,21.85,US,1651268066
Uwajima,33.2238,132.56,52.36,76,19,4.56,JP,1651268067
Srandakan,-7.9386,110.2506,76.1,90,16,2.53,ID,1651268067
Pangnirtung,66.1451,-65.7125,15.8,86,100,6.91,CA,1651268068
Jilib,0.4883,42.7854,76.35,92,3,3.94,SO,1651268068
Jumla,29.2747,82.1838,51.33,66,16,4.23,NP,1651268069
Yangjiang,21.85,111.9667,75.7,87,99,4.27,CN,1651268069
Kulhudhuffushi,6.6221,73.07,84.94,74,66,8.39,MV,1651268070
Genhe,50.7833,121.5167,27.5,75,59,4.29,CN,1651268070
Abadiânia,-16.2042,-48.7069,76.12,49,25,3.42,BR,1651267950
South Kazakhstan Region,43.0,68.0,72.91,32,4,7.29,KZ,1651268071
Nemuro,43.3236,145.575,38.95,64,100,14.56,JP,1651268072
Fare,-16.7,-151.0167,81.28,72,0,19.64,PF,1651268072
Liuhe,42.2401,125.7172,45.46,69,100,12.08,CN,1651268073
Darhan,49.4867,105.9228,38.43,33,53,3.74,MN,1651268073
Half Moon Bay,37.4636,-122.4286,75.88,62,0,20.71,US,1651268074
Lata,40.1629,-8.3327,56.91,73,0,1.16,PT,1651268074
Edd,13.9297,41.6925,85.28,66,42,4.43,ER,1651268075
Słubice,52.3509,14.5607,50.29,73,91,6.53,PL,1651268075
Taltal,-25.4,-70.4833,61.7,79,91,3.78,CL,1651267820
Rundu,-17.9333,19.7667,63.43,48,0,4.85,NA,1651268076
Pinotepa Nacional,16.3167,-98.0167,92.05,32,3,10.78,MX,1651267914
Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,52,0,6.71,RU,1651268077
Fairbanks,64.8378,-147.7164,54.09,44,0,1.99,US,1651268077
Belmonte,-15.8631,-38.8828,75.61,85,16,6.8,BR,1651268078
Te Anau,-45.4167,167.7167,54.81,85,94,3.89,NZ,1651268078
Ulagan,50.6321,87.9563,37.89,70,37,3.33,RU,1651268079
Puri,19.8,85.85,82.92,87,77,20.11,IN,1651268079
Tārānagar,28.6709,75.0351,86.68,13,7,8.97,IN,1651268080
Usinsk,65.9939,57.5281,23.02,93,100,11.83,RU,1651268080
Shirokiy,49.758,129.523,42.62,56,100,7.45,RU,1651268081
Kuantan,3.8077,103.326,78.91,88,20,0.0,MY,1651268081
Caluquembe,-13.7833,14.6833,60.1,73,24,2.82,AO,1651268082
